"","TITLE","MONTHLYPRICE","NROOM","SQMETER","PRIMARYKEY"
"199","Bilocale via Carlo d'Adda 24, Navigli - Darsena, Milano","750","2","50",83124783
"200","Monolocale via Friuli 24, Porta Romana - Medaglie d'Oro, Milano","1000","1","39",83127951
"201","Bilocale via Garigliano 7, Isola, Milano","1500","2","70",83120695
"202","Bilocale piazza San Babila, San Babila, Milano","1100","2","45",83119339
"203","Trilocale via Bartolomeo D'Alviano, Bande Nere, Milano","1500","3","Not Found",83123889
"204","Bilocale via Rogoredo 27, Santa Giulia, Milano","900","2","50",83120787
"205","Trilocale via Venini 14D, Centrale, Milano","1750","3","Not Found",83128251
"206","Bilocale via Bartolini 47, Certosa, Milano","900","2","60",83127139
"207","Monolocale viale Col di Lana 6-a, Corso San Gottardo, Milano","1000","1","47",83128373
"208","Bilocale via FARNETI, Buenos Aires, Milano","1050","2","75",83123151
"209","Monolocale corso Lodi, Lodi - Brenta, Milano","800","1","37",83112131
"210","Bilocale via Orio Vergani 14, Maggiolina, Milano","1170","2","60",83128113
"211","Bilocale via Altaguardia 2, Porta Romana - Medaglie d'Oro, Milano","1100","2","51",83121137
"212","Bilocale via Vincenzo Monti, Vincenzo Monti, Milano","1400","2","50",83119611
"213","Bilocale viale Montenero, Montenero, Milano","900","2","45",83125337
"214","Loft via Melzo, Porta Venezia, Milano","720","1","28",83127005
"215","Appartamento piazza Giovine Italia, Vincenzo Monti, Milano","5416","5+","Not Found",83105489
"216","Trilocale via moscova, Turati, Milano","1500","3","80",83128375
"217","Monolocale via Lamarmora 2A, Quadronno - Crocetta, Milano","850","1","30",83127467
"218","Monolocale viale Suzzani 92, Prato Centenaro, Milano","570","1","25",83126469
"219","Bilocale via Riccardo Galli, Monte Rosa - Lotto, Milano","1000","2","55",83096959
"220","Appartamento viale Tunisia 2, Buenos Aires, Milano","3000","5","Not Found",83117913
"221","Trilocale via del Lauro, Scala - Manzoni, Milano","2333","3","85",83127041
"222","Trilocale via Lazzaro Papi 20, Porta Romana - Medaglie d'Oro, Milano","1650","3","100",83118487
"223","Monolocale via Imperia 11, Famagosta, Milano","620","1","40",83115231
"224","Trilocale via Carlo Imbonati 52, Dergano, Milano","1200","3","86",83128695
"225","Monolocale via Padova 78, Parco Trotter, Milano","590","1","18",83122925
"226","Bilocale via Arquà 10, Parco Trotter, Milano","770","2","47",83122963
"227","Monolocale via privata chieti, Sempione, Milano","620","1","30",83128247
"228","Bilocale viale Lombardia, Città Studi, Milano","800","2","40",83126945
"229","Trilocale via Lazzaro Papi 20, Porta Romana - Medaglie d'Oro, Milano","1350","3","70",83118799
"230","Bilocale via Walter Tobagi 10-4, Tre Castelli - Faenza, Milano","1000","2","75",83129189
"231","Bilocale via Adige 20, Porta Romana - Medaglie d'Oro, Milano","900","2","60",83114939
"232","Quadrilocale viale Piave, Piave - Tricolore, Milano","2833","4","Not Found",83119271
"233","Bilocale via Alessandro Silva, Baggio, Milano","1200","2","45",83105469
"234","Monolocale via Franco Tosi 6, Barona, Milano","550","1","50",83126669
"235","Monolocale via Antonio Fogazzaro 8, Montenero, Milano","800","1","35",83128497
"236","Trilocale via Cola Montano, Isola, Milano","1500","3","108",83122147
"237","Bilocale via Giuseppe Giusti 28, Paolo Sarpi, Milano","1450","2","80",83114825
"238","Bilocale corso Genova 3, Corso Genova, Milano","1100","2","50",83127947
"239","Mansarda 110 mq, Turati, Milano","2000","3","110",83122165
"240","Trilocale via Cadibona 12, Molise - Cuoco, Milano","1150","3","90",83122305
"241","Monolocale Ripa di Porta Ticinese 101, Navigli - Darsena, Milano","750","1","35",83125261
"242","Bilocale viale Bacchiglione 12, Corvetto, Milano","870","2","52",83125163
"243","Bilocale via Emilio Gola 16, Navigli - Darsena, Milano","850","2","40",83113515
"244","Monolocale via Ruggero Leoncavallo 19, Parco Trotter, Milano","590","1","20",83123011
"245","Trilocale via Bramantino 3, Certosa, Milano","1750","3","100",83125641
"246","Bilocale buono stato, secondo piano, Gambara, Milano","700","2","52",83115495
"247","Trilocale corso Buenos Aires 65, Buenos Aires, Milano","2100","3","Not Found",83129923
"248","Bilocale Alzaia Naviglio Pavese 52, Navigli - Darsena, Milano","875","2","57",83122633
"249","Trilocale viale Gran Sasso 5, Città Studi, Milano","1300","3","100",83130511
"250","Bilocale quinto piano, Ticinese, Milano","2000","2","90",83119785
